,Tweet
2938,@TabuchiEisei 加賀からの移民は移住していく中で途中で諦めそのついた場所で開拓したもの、移民してきても政治的背景で干拓移民をしなければならないもの、そしてブラジルや北海道への相馬移民。今と比べる対象も背景も違います
2939,"@D0HPutUSxHrILK1 @dream21ai @maedayojiro デモとか政治家になるとかもせんで口だけで社会変わらなくても自分勝手してりゃOK？
どんな幼稚な考えなん？
Twitterで騒いでると社会変わるのか？
店にノーマスクで入ると社会変わるのか？"
2940,"有識者から「内閣のみの判断は恣意しい的になるリスクがある」「政治利用される可能性がある」といった発言が🈶
議員からも「国葬は後継首相の政治的立場を正当化するのでは」等の意見─

報告書では省かれ…文章は国葬の是非や経費の問題には踏み込まず~そのまま「国会の関与が必要」との一致点に集約"
2941,政治からの独立性を確保しなければならない、学術会議会員の任命に政権が介入したことに、何ら反省することなく、政府の息のかかった第三者委員会に任命権を与えるなどとの案は、改革の名に値しない。政権は学問の自由に介入するな! https://t.co/heyuloTpyw
2942,"政治やったらアカン、ポンコツさを自ら晒すヤツ‼️
日本をなんとかする為に本気で市議会議員、区議会議員を目指している方に謝れ‼️

NHK党 立花孝志】 時給12万円 市議 区議はアルバイトレベルのお仕事です 【立花孝志ターシーch切り抜き】 https://t.co/hIT8mE0NJW @YouTubeより"
2943,このままでは、＃岸田に殺される。 https://t.co/JhSdMxYrfW
2944,"世界から日本政府！愚か、衰退する日本！ニュース、報道に騙されるな！諸外国の情勢、政治の在り方シャットアウト！
#政権交代 #テレビに騙されるな
自民、逆風懸念　薗浦氏辞職、イメージダウン避けられず(時事通信)
#Yahooニュース
https://t.co/7hVq57uLfR"
2945,私は宴会場の配膳のバイトをちょっとやったけど一番ダルい客が多いと感じたのは政治家の式典
2946,【宣伝】https://t.co/L1TKibwSph「幸福の大陸パンゲアを創造する！」1700年続く能力者世界の戦争を終わらせ理想郷を築こうと、悲劇の青年大王は立ち上がる。政治歴史軍事に日常を取り合わせた異能もの。現代日本の裏側で進む異色の大スペクタクル！！
2947,"@shotgunfilm 私も、そう思います。

また、オーピー映画は、ピンク映画ファンの方々に対しても、荒木監督の作品上映中止問題や、同じ年の秋に起きた山内監督の「アブノーマルファミリー　新妻なぶり」の地方上映中止問題に関しても、未だに詳細な説明をしておらず、不誠実ではないか、と思うことがあります。"
2948,知性無き政治！https://t.co/MCOfEyE26Q
2949,翌朝、72さんに抱かれたまま起きた5♀ちゃんは、思う。クソみたいに怒鳴り散らしたのは、生まれて初めてだったな……と。人前で取り乱すと、いろいろ政治的に面倒なことになるのが見えていたので、今までそんなことはしなかったし、やるべきではないと自分で思ってセーブしていたのだな……と。
2950,国際政治chとうとうゆうりょうかいいんになってしまったの　ふわふわ
2951,彼奴らのファンの方もいらっしゃると思いますが、ファンの方が彼奴らを話題にする度、傷つき、不幸な気持ちになる人間が、僅かとはいえ存在するということをご認識いただければと思います。 https://t.co/4LdlX3KJR5
2952,みなさん、趣旨を一本化したツイートをしている中、私はコロナや政治、虐待や自分の住んでいる国のこと、いろんなことについて呟くので、フォローしてもご期待に沿うツイートばかりできないと思いますが、フォローありがとうございます💦🙇🏻‍♀️
2953,@ROM60640715 @_HappyBoy 私が言いたいのはまずは基準を変えないとここで話し合っていてもいつまでも何も変わらないと言うことです。時代と共に保育園の在り方が変わってきているので今の割合では厳しいのが現状です。それを保育士は子どもとお昼寝してると思っている政治家もいるほど本来の仕事を周知してもらえていません。
2954,日本政治の救世主!?　／ https://t.co/ZDGsWW7KUY
2955,"@llllrunrunllll @iketeruyuyu 姫さんよりキレる人そんなに居ないので多分ほとんどの男性が生理的にアウトになりとりあえず私も該当しますので謝罪しときます😂

そもそも東大3回受けようとするのがバカなんですよね
受かるか受からないかは置いといて

政治家に学歴はいらんすよ
正しい国家観と愛国心と広い視野だけでいいんですよ"
2956,"自民党の薗浦健太郎・前衆院議員ら計３人を略式起訴…東京地検特捜部 #ldnews https://t.co/E7tXhEmv7m 

日本は犯罪天国だな。ちょろっと罰金払って終わり。
政治団体と言っても、合法資産隠し（脱税）組織だからな。国民がアホやから、政財官はやりたい放題。"
2957,"#解散総選挙  してして〜
#選挙やって自民党以外に入れましょう
この際公明党は無視で！"
2958,"@kasamax SNSでの政治的会話は、友敵理論が先行しがちで難しいですよね（汗
だからこそ笠間先生のようなユーモアは武器になると思います。
私は短気でダメですｗ
頑張って下さい。"
2959,"@Sankei_news つか、小池都知事は関係ないやん

政治利用すんな"
2960,ゐほー
2961,同じ東京帝大法学部でも、上杉先生の国粋主義的保守姿勢に惹かれてはいても、どこか物足りないものを感じていたし、先生とは対極的な位置にある憲法の美濃部達吉教授や、京都帝大の河上肇教授とともに、民主主義の旗頭と目されていた政治学の吉野作造先生などの姿勢にも、違和感があった。(岸信介)
2962,"自分の発言に責任を持てない「政治屋」達には何も期待出来ません。

日本には「政治家」はいないと思う。 https://t.co/cPEI1z0QRK"
2963,STU48小島愛子「誰かの沈んだ心を救う希望の光に」 #SmartNews  https://t.co/aqwOSXWRhQ
2964,"今年5月から6月にかけて、首相は週末ごとに出張先やその移動中に官邸幹部らと原発政策について協議を重ねていた

「異様だな」つぶやいた首相　原発回帰、新たな建設検討指示の舞台裏：朝日新聞デジタル https://t.co/Hb2OWBI8LI #ウクライナ情勢"
2965,"今日は
iPadで国際政治チャンネル見ながら、
編物しながら、
プライムニュース見ながらTwitter見てます。 #primenews

手がもう一本欲しい。"
2966,"@sharenewsjapan1 🐴🦌の一つ覚え
何も学ばない何も理解しない…
こんな政治屋ばかり"
2967,"しかし、今年の国際政治chの忘年会観ると去年は平和だったなーと（ノンアル

今年は有アルかー（冒頭見れてなかったので有料までみてるやつ"
2968,"おっ、続編きたこれ
一冊目が読みやすかったし、二冊目も期待
そのうち、何冊かを統合して、書き直しで情報をアップデートしていく辞書みたいな一冊が出来たらいいな
電子版なら別に何ページに増えてもかさばらないし https://t.co/glDdZVZeWg"
2969,"@AtaruSasaki 総理の息子を特別待遇で秘書官にした成果が情報リークなら全く笑えない
政治は結果ですよね？同党の安倍元総理も言ってましたね"
2970,自民党の世襲議員による貴族政治を止めないとプーチンを笑えなくなる日本。 https://t.co/4ANuo88g2j
2971,"@sharenewsjapan1 政治家の数の方が問題かと。
政治家に支払われている年間での税金の金額は？
寝てる議員、パパ活して働かないで隠れてる議員、他にも問題のある議員沢山いるよね。"
2972,今日の国際政治チャンネルは面白かったな
2973,あっという間過ぎて国際政治chのメンシ入った😂
2974,どう生きればいいのか､わからない…18歳から生活保護を受ける27歳男性に｢やる気｣が見られないワケ この国の福祉は｢家族｣がいなければ機能しない #プレジデントオンライン https://t.co/lpTG2b735C
2975,自分より悲惨な低所得世帯が多いし困っていても自分はマシな方だから我慢しようと思うのはグローバル化を進める政府にとっては好都合の展開。これを繰り返されると人は権利主張できない思考状態になって国民がバラバラに崩壊する要因でもある。 #政治 #ニュース #コロナ
2976,"#長野県 #佐久市 のネット古本屋｢#古書じんや｣では,郷土史,歴史,民俗,宗教,美術,日本文学,外国文学,児童書,政治,経済,心理学,医療…等々,バーコードのない平成以前の古い本を積極的に買取中（#ヤフオク では戦前～新しめの本まで販売中）
#古本買取→「古書じんや」で検索
https://t.co/n0yMp2f3Uh"
2977,"とても正直なインタビュー…壁にぶつかった時、愛子さんのコメントを思い出して乗り越えます！
皆さんの頑張りで、2022のオリコン、USEN、STU48【花は誰のもの？】が凄い事になっています、ありがとう！

STU48小島愛子「誰かの沈んだ心を救う希望の光に」 ｜ MusicVoice https://t.co/NDuuY59mZJ"
2978,政治ツイ以外はめちゃ普通の人なんやけどなあ🤔
2979,"@tosshiyukki その為の
寄生虫ユダヤ🇺🇸連合国による
占領憲法・財政法
財務省設置法などの法で
日本🗾日本人😫を縛る
破れば良いのに🤭

植民地の日本を管理してる
官僚・政治家・財界人・メディア
学者などは、日本人および
日本人の精神を持ってる人が少ない"
2980,“対策とれば給食中の黙食の必要なく会話OK”と学校に通知し、行事の入場制限も行わず～千葉県 #SmartNews  https://t.co/SF4AIbYh20
2981,"これでもマイナンバーカードの機能の１つに過ぎないって所が凄いよね🤣

今まで仮想通貨を触ってたから理解しやすいけど関わらなかった人は大変だろうね😅

こうやってweb3的なお金のやり取りをし力が大きくなったら
日本や世界中のありとあらゆる地域のデジタル住人になって政治的に侵略しましょ☺️✨ https://t.co/AqfmIAOo8s"
2982,"→ 父系天皇を尊重する言論をされていました。
また我が国🇯🇵の君が代は自然体で、世界の国歌はこれまた違います。
中田参議院議員は全国の皆様から選ばれた政治家です。全国の皆様、中田参議院議員を宜しくお願いします。
→ https://t.co/yN7H41PZAB"
2983,少子化対策の予算6兆円もあるの！？そんなに使って人口増やせてないの？バカなの？そんなにあったら毎年、子供80万人産まれたら1人当たり750万円あげれるやん！子供すぐ増えるやろ！ https://t.co/8YnqRRhDq1
2984,"@Gneko73861001 @ohtsubakiyuko まったく関係ない、と思わせているその労働組合役員に問題があると思いますが、労働組合が掲げている政治的主張に、まったく関係ないものなどないのではと思います。
政治には見物人や観客などいない。全ては有権者や国民の生活向上（低下）に関わることだと実は思います。"
2985,セクシャルは個人的なこと、ジェンダーは社会的なこと。と、個人的なことは政治的なことを合わせるとどうなるか？トランスするとは、社会的、政治的な意思表示、思想的な運動になる。GID界が吉野さんと対立するはずである。GIDは病気である。本人の意志とは関係ない。ところが、吉野さんは意志によって
2986,@HXTuJJPn9sDYlih @nomorepropagand @TMT69J @Moka_Wisdom @craneopesan @52X4eOjW5zC5AVC 利子がつくようになるのですから、減りませんよね？
2987,"この人の世界線では政治家がマスクを外そうと呼びかけてそれに国民が応じてマスクを外して感染が広がったそうです
へぇ〜
私毎日都内に通勤してますが電車ではほぼマスク外してる人は０人、屋外に出てちらほら見るぐらいですよ？どこの国の話してるんですかね？ https://t.co/JUn46A07vF"
2988,@triangle24 何度も同じことを繰り返す与党政治家…
2989,ケンタッキー買ってきた 小泉 悠×東野篤子×高橋杉雄「大忘年会2022」 #国際政治ch 135 / ニコ生視聴中 https://t.co/9HUJCnCU9l
2990,"@D0HPutUSxHrILK1 @dream21ai @maedayojiro 知らんが消えてねえよな？
消えるか無毒化するかノーマスク派がきちんとデモなり政治家になるなりして社会の対策直してからノーマスクにしろよ。
自分勝手してりゃ社会変わるのか？"
2991,戦術の話ならめちゃくちゃ頭良いのに政治の話になると「つまりソイツを滅ぼして御父様が上に立てば解決ですね」みたいな理解しかしないメギド　しやたん
2992,"@jda1BekUDve1ccx なんか裏が有り過ぎの様に
感じるのは私だけかな〜
裏の圧が強過ぎる見たい‼️
日本だけでなく、かの国が絡んで居るのでは日本の
政治家は腑抜けばかりだから何も言えない！
情け無い💢"
2993,第二次世界大戦のスウェーデン空軍機（芬蘭堂）の通販・購入はメロンブックス |  https://t.co/BJTq3IP6SD
2994,"会計責任者だった秘書だけでなく、国会議員本人も略式起訴される事態となりました。政治資金の透明性を「骨抜き」にする行為ですが、特捜部は過去の同種事件も参考に罰金刑にとどめました。

秘書との共謀で異例の立件　薗浦氏の略式起訴、支出先や金額隠蔽か | 毎日新聞 https://t.co/lBeLI0mhf1"
2995,@hitsuji_bright @ajitsukenoriko2 どうせ、また政治家と官僚（経産省）が自分の懐を潤すためにsan活法みたいなの作って、あの国に売っちゃうよね！
2996,「高校「現代社会」とはなんだったのか？ー40年間の変転と衰亡の過程ー」と題したシンポジウムやるか…😳😳。倫理的内容と社会的内容については、当方やります。政治・法律的内容と、経済的内容については、どなたか。
2997,"中国が外国製コロナワクチン受け入れ米国の提供拒否  https://t.co/4TFdJhtdUW
米報道官、国際景気回復持ち出して米製ワクチン使え
中国政府""間に合ってる""
使え言う方も言う方だが
事も無げに断る
ここんとこか
日本には国交政治力の無いところ
鵜呑み言われるだけ輸入
国民に強いるほど打ち切ろうと"
2998,"Googleさん、Twitterに代わる最強SNS作ってくんね〜かな

使い勝手Twitterのまんまで、くだらない政治劇が運営内部に存在しないやつ

YouTubeレベルの収益化モデルは全然組み込んでもらって構わんから"
2999,普段は話しかけてくる時にわざわざマスク外すやつとか、案内しても例一つ言わずに、ヘタすると嫌味言ってくるやつばかりなので、「さすが日本の政治経済金融の中心地…」と思ってる。構内のトイレも破滅的な汚さになることはない。（そのかわり忙しい
3000,"@aira3haahoo おお！おめです🥳
今日は絡みありがとうございした〜（笑）
最後まで頑張ってください🥹🥹🥹"
3001,お粗末…　お金の話じゃなく、設置するスペースがなくて使えなかったなんて、いかにテキトーな仕事してたかってことじゃないか…「信頼の日本製」って本当に死語になったと思う…政治も、自分の職場でも、無責任がまかり通ってるし…「無責任の日本製」と呼ばれるようになるよ…… https://t.co/Vv8FBN7wja
3002,"官邸は今年、防衛と原発に「子育て」を含む三つの主要政策を「3兄弟」と呼び重視した

原発政策大転換、経産省幹部「神風吹いた」　主導したのは首相最側近：朝日新聞デジタル https://t.co/hmXzRubVg6"
3003,"@Ak148usagi @a0LL1lEPpKt6llt 意味は了解しましたが、売り切れでいいのかな？

対応できないくらい多数の注文来ているのかな？"
3004,"議員はなんとも思っていないよ。「有権者馬鹿だから、また選んでくれる」と思ってるよ。とにかく有権者が変わらなければ、同じことは百万遍でも続く・・・

政治への不信深める議員辞職：日本経済新聞 https://t.co/JYrzRKw8lw"
3005,昨年は自分が貧困に落ちるか、というところでこの時期精神がギリギリだったのだけど、今年は国全体として格差と貧困やべーの政治がやべーの気配なのでつらい
3006,@konotarogomame 政治家だって人間や。発信の全部が公平とはいかんやろ。河野さんも思うところがあったんやろうし、協力するもしないも自由なんや。拡散依頼くらいええやん。
3007,"@whiteshatiku @pochi1182 @ken_sword_ken 金額だけではなく、当時の物価や給与との比較も行うべき。
150円時代の大卒初任給は13000円
大卒初任給に占める割合は1.15％
今は8％位かな…
でも、今の金銭感覚で150円しかと捉えるのは危険。
https://t.co/BdpL48yvdm"
3008,@gg1733nc @GDoofSL4HFprtT0 外国の政治的意思が日本の選挙や政治に影響を及ぼす可能性が高いからです。日本の政治が日本以外の国を第一に考えるようになったらいけないと思います。
3009,"ゲームにまで政治問題を持ってくる日本人は見たくないです😊

一生砂界で腐ってください"
3010,"残念ですがそれができないのが政治屋なんです。

無能だからいつも尻を拭うのは医療関係者と感染対策を頑張ってる国民です。 https://t.co/G0bSPxnHvP"
3011,"@ohtsubakiyuko へーー
立憲批判か
立憲にも直接言えない立場なのか。
単なる政治好きな女性って事だからなの？"
3012,"@s99465472 @dancer_muddy @YOSHI56545937 @pchip3 あなたは学会とどう関わりを持ったの？
何故アンチになったの？
どのような体験の持ち主ですか？
2世さん？"
3013,"政府、受診料6円値上げへ　従来保険証だけ、来春から

…政府の暴走はエスカレートしていますね。
これは政治の暴力ではないかな。

https://t.co/czXCSa1gOO"
3014,@ichigosakura10 どうしたら政治が良くなるんだろうと思わない日はありません😭
3015,"安倍さんの国葬に12億使ったそうですね。
そして頼んでも無いのに軍事費増やした、また増税ですって！
ご自分達のお給料とかボーナスとか、議員年金とか、退職金とかは下げる気などサラサラ無し。
これでも我慢しないといけないのですかね… https://t.co/x5qvlqLTnl"
3016,核の原水爆を持たせてはならない。哲学や法哲学は全くない。原水爆で儲けた金でのアメリカ軍事産業圧力団体政治学のカネのみが支配する。これが資本主義であると言う。狂っている。市場独占は禁止である。独占企業は狂う。 – 山口節生政治経済教育建築新聞宗教鑑定商事会社 https://t.co/hRSM2M5WsB
3017,視聴者プレゼント 小泉 悠×東野篤子×高橋杉雄「大忘年会2022」 #国際政治ch 135 / ニコ生視聴中 https://t.co/9HUJCnCU9l
3018,憲法の解釈を拡大したとして法案を制定するのではなく、まずは憲法を変えるかどうか、それを国民が審議すべきであると思います。　https://t.co/57QrvPLMy6
3019,@n_katagiri @ekesete1 大阪駅まで実物を直接に見にいかなくてもネット上には当該広告の絵が上がっているだから判断できるのでは？単に逃げているだけにしか感じませんね。
3020,彼女の生まれたメイティク伯爵家はエースター領における旧フォルスカ系貴族としては最高峰の家格を誇り、父であるマテウスは官僚・政治家としてエースターの宮廷に出仕し、最終的には大臣にまで到達しました。
3021,"@koko37606748 うー……ん？？ww国のリーダーとチャンピオンは別かなあ？？
ポケモン界で政治っぽい話はあまり出てこない印象ですねえ"
3022,"@yuuji_japan @boko_boko_boko 俺だったら読めねぇww
沖縄左翼の過激な抗議が中国の好き放題を加速してる。あいつら（左翼の馬鹿共）に、政治でも任したら日本が終わってしまうよ。"
3023,"対立構造をうまく利用している者。
日本のODAの恩恵を全く伝えすらしない中国と同じ戦法。
事実を伝える情報戦に勝たないとややこしくなる好例。
だからこそメディアや政治家の発言の真意を伝えるSNSは大事。 https://t.co/UrcYqFPyaY"
3024,NHKスペシャルでの原爆の弾薬庫は、中国インドロシアではなく沖縄本島の辺野古弾頭の弾薬庫に、大量の原水爆が格納されている。相互確証破壊では沖縄県は辺野古の弾薬庫には原水爆がある。NHKスペシャルそっくりである。アメリカはアメリカ軍事産業圧力団体政治学で精神病者だ https://t.co/hRSM2M5WsB
3025,@DNK33095451 @knife900 自民党政治？あなたの言う自民党政治というのは10年間の長期にわたる財政ファイナンスによる円安。その結果が中央銀行が実質債務超過、株式市場の最大の株主は中央銀行という悲惨な今。一旦清算しないと回復不可能ですから。いつまでも自民党政治に付いていけば良い。
3026,@gi1DwRYeEt2KHSf そうですね。 https://t.co/QGkzEpr4sx
3027,"んだんだ。
耳障りの良いことを言う政治家は地獄への道案内人。 https://t.co/EfxPI4hDCn"
3028,"@TukankovGotoh これ↓
フジテレビ、政治部記者が岸田政権の総理周辺を籠絡か : 市況かぶ全力２階建 https://t.co/gSPWn8fwHv"
3029,"@wUw7C11jxsfTxmf 特に言い訳は無さそうです
文句なんて捩じ伏せれば良いと判断するでしょう

「税金を国民から吸い上げる」とか、政治資金規正法違反疑い人へ「辞職は勇気がいる」とか本音がダダ漏れですからね〜
そう考えると、この10年で政治腐敗が進んだ事を実感しますね"
3030,なんだかんだで政治をやっている人はすごいというのが俺の中での結論
3031,@codesowhat 私は業界的に多少ズレますが、耳の痛いお言葉です。私が山陽に拘るのは、まさに学問が実際の政治・社会に影響を与えたからですが、大半の徳川時代の「学問」は、ごく一部の学者間のものに過ぎないと言われればその通りです。「学問」のあり方の、顕彰ではなく検証で行くべきなのでしょう。
3032,おっしゃることはわかりますが、スポーツ以外でも多くの支援を受けて活動する立場のひとが社会的、とくに政治性を含んだメッセージを飲み込んでいるのが実情です。そういう声をファンが歓迎する社会であってほしいと切に願います。政治の話は職場でタブー、誰でも当事者ではないでしょうか。 https://t.co/qJZdPaTBTy
3033,【成田悠輔】「これからの30年、どう生きていきたいか」投票率が下がりSNSの政治への影響が無視できない今、アルゴリズムによる無選挙の民主主義を提... https://t.co/D09DTICi9h @YouTubeより
3034,"森友問題の公文書改ざんと同じ「黒塗り」みたいなことするのを良しとしてるよなこれ…
与野党関係無く政治家みんな腐れまくってるよ https://t.co/wuya0LdNll"
3035,【サンデルの政治哲学－&lt;正義&gt;とは何か (平凡社新書)/小林 正弥】を読みたい本に追加 → https://t.co/ceb60rVHsJ #bookmeter
3036,杉田水脈氏も稲田朋美氏に「乗り換え」か 自民党内で「高市離れ」始まる？。自民党内で高市早苗議員離れが始まっているとFLASHが報じた。17日の杉田水脈議員の政治資金パーティで高市氏の窮状が露わになった。このパーティで杉田氏がぴたりとくっついていたのは稲田朋美議員そう(･∀･)
3037,"@Q6Fal2eHmAmOhuE 🇺🇸って もう財政  政治システム 国家としての体を成してないと思います
分断して 細かくなって行くと思います
もちろん 50年とかのスパンですけど
直近だと日本からの米軍の撤退は始まると…その為の防衛費増額だと思っています"
3038,そもそもそれなりの理解力があったらまず自民党支持者にはならないと思うしそんな輩からめんどくさい事言われたらやむなしって部分もあると思う https://t.co/WFbWDK0rzn
3039,"진실(眞實)은 通한다.
그것이 곧 진리(眞理)이다.
2022.12.22.
전유건.
https://t.co/OS7Vcow7ZI https://t.co/sXdt25IrwX"
3040,【定期】政治問題に言及することがありますので、苦手な方はミュートでお願いします
3041,地方自治において、「行革」と称して市民活動への便宜供与を廃そうとする右派首長はいる。僕の考えでは、これは多元的政治競争を廃し市民の衆愚化をもたらすものだ。
3042,過去に、立憲の候補者の過去ツイ漁ったら今日もJC盗撮😊みたいなツイートだらけで炎上したことあったけど、みんななんで垢分けしないの…？政治家じゃないけど舞台俳優小澤廉も堕胎炎上でツイ消ししまくったら過去の性癖ツイートがボロボロ出てきて自滅してたし、なんで垢分けしないの？？？
3043,@t2PrW6hArJWQR5S でも自民党を選び続けてるのは国民、なので政治家がいっぱい給料をもらっても増税しても国民の給料が安くても自民党と公明党を選んでる多数派が正しいく、文句を言う少数派は頑張って三年後の選挙で勝てるように友達や家族を連れて選挙に行ったらいい
3044,"↪といった意見も紹介されているが、これもどの議員か分からない

✔非公開とした理由を与党議員は「国葬が批判の対象になったから」と説明

野党議員「政府の検証会議も非公開だから合わせたのでは」と語る

◆“政治利用”の指摘 掲載されず

そもそも全5回の会合の議論をたった3頁に要約するのは困難"
3045,中国との戦争はすでに始まっていると思う。公明もあんな調子じゃ日本はなめられやられる。　#尖閣　#中共
3046,@Nobukz_bot ホントに、立て込んでいる所に視察に来て、わざわざ時間を割いて状況を説明しても「じゃあ、書類にまとめて提出しておいて！」とか言っておきながら渡された書類にはまるで目を通さないで”率先して視察に行って現地の悲惨な状況を見てきた”だけで終わらせてしまう政治家なんぞ迷惑でしかない…
3047,国にせよ学校にせよ会社でもなんでもクソを覆す政治力は時間もそうだしカリスマ性とか徹頭徹尾やっていく意志なんかが必要だけど、生きていて価値観が変わっていくなかでズレやら揺らぎの影響を受けないってのが一番難しそうだなと感じる
3048,"@konotarogomame 政治家が出てくると違和感しかありません
なぜでしょうか"
3049,"地方議会政治
中芸広域連合議会12月定例会閉会。その後　コロナ過の中での忘年会。厳しい飲食店への応援の思いも込めて強制決行。総勢10名でホテルから町内のスナックを3軒回り25時帰宅。本日　ダウン。 https://t.co/beLTtQGuDr"
3050,"国際政治chで
「やすぅ〜い」
と東野先生が言ってましたね…。
ここにも保科さんが #primenews"
3051,"社会問題に関心のある学生さんとか、若い人は素晴らしいと思うんだけど、
個人的には、ストレートに運動団体や政治組織に入る前に、ぜひ一度普通の会社員とか商売をやってみてほしいんだよな😃"
3052,@SEM14636438 指導員に某政治政党の候補者を
3053,"@2RBaweIMh48p1ZY @ensemble43530 「それを政治家のせいにする」というのはあまりに限定的でかつ個人的な思想と伺います。
世間一般的に「近くの他人や物のせいにする」の方が多くいると思います。

だから私は知ろうとしないのではないかと考えます。
「その理由は身の回りの事しか見る余裕が無いから」が正しい答えかと"
3054,"@jisei0918 人って生き様が顔に出ると思います。
いい相になりたいもんですね❣️
政治家がいい例でみんなどんどん悪代官みたいになるのはなんでだろう？
ヘソだけでなく口が曲がったりとか😆"
3055,田中拓道（著）『リベラルとは何か：17世紀の自由主義から現代日本まで』（中公新書）を読みました。いわゆる「リベラル」という政治的立場が、どのような理念のもとにどのような政策を要求するのか、また現在どういった問題を抱えているのかについて、非常に明瞭な理解を与えてくれる一冊です。（続） https://t.co/gGi9xYnXRs
3056,"官邸はギャルゲーのチョロインかよ
&gt; フジテレビ、政治部記者が岸田政権の総理周辺を籠絡か - 市況かぶ全力２階建 https://t.co/bAb6GD9eEd"
3057,"@PaxilManX 野党が自民党に寄生してる？
どっちも国民に寄生してる寄生中だよ。数が多いだけ自民党の方の害の方が大きいけどね。

馬鹿な経営者は会社を潰すし、馬鹿な政治家は国を潰す。
自民党が馬鹿で無能に見えないなら救ようが無いね。
救う気も無いけどね。
(ﾟσ ﾟ)ﾎｼﾞﾎｼﾞ"
3058,批判じゃないですが、サミットという政治的な会合にロゴマークとか必要なのか？って。　いや、批判じゃないですよ、本当に。 https://t.co/MQGGDs5lhs
3059,"@a0LL1lEPpKt6llt @Ak148usagi オンリーワンなのに残り２って？？
設定ミスなのかな？"
3060,"@JGSDF_pr もう海外に行かなくていいです。
自衛官の皆様を、危険な目に遭わせたくない‼️
ダメ政治家があなた達を危険に晒します⤵️"
3061,"@KKRnotgachizei ｶﾞﾝｶﾞﾝ言っちゃいましょう!
局長と対話したんですが局長級になると
多少なりとも政治関係の絡みも出てくるみたいです🤔"
3062,政治家女子48党ってなんぞ？
3063,政治家こそ55歳定年制‼️権力手にしなくとも結局企業で言う窓際俗が仕事しなくとも高い所得を税金から貰える‼️しかも経費のおまけ付き😡💢北村誠吾氏“爆睡常習”“欠席率ワースト1位”公式HPの「ムダにしません、汗と税金。」宣言とのあきれる言行不一致ぶり（SmartFLASH） https://t.co/IA7Jp1mRCg
3064,"私たちの政治家は、100 億ドルの国境の壁は高すぎると言いましたが、明らかに、ウクライナに 1,000 億ドルでは十分ではありません。

詐欺。それらのすべて。 https://t.co/kXXiztpMfm"
3065,"プロレスラー、芸人、元芸人、政治家女子48・・
たかが市議会選挙なのになんでこんなバラエティーに富んでるんや笑 https://t.co/HxktKVR8sr"
3066,無駄な戦争するよりも？　　皇道經濟　　　　　　　　　みんなに十億円　　＾０＾♪
3067,"清廉潔白な政治家って居ないんですね💧
政治家以前に弁護士介して踏み倒す前提は人として良く無い https://t.co/kJaLq69AEm"
3068,"ワクチン未接種者を恨み、マスクしていない人を睨みつける人々へ
-
お前らが悪いんだぜ。何も考えて来なかったお前らが。我々は調べて考えて決断したんだ。

恨むなら自分の情けなさをまずは恨め。
私をブロックしていいぞ。それで気が晴れるならな。

そして、
他人の目ばかり気にして生きてくれ。"
3069,心を忘れた政治には幸せ求める夢が無い
3070,政治は勿論大切だ。しかし政治以前のものがもつと大切だ。そこを正すことだ。(7)
3071,"@yoch_shigematsu しげまつ江東区議
先日はありがとうございました

#万葉倶楽部♨️#万葉の湯❌#豊洲市場 が創る #豊洲の江戸 について今も話題にしている政治家はしげまつ江東区議と #川松真一朗 都議だけ…

川松都議も高く評価する豊洲 #チームラボプラネッツ は来年末で終了。#チームラボ と市場のコラボに期待です🐟 https://t.co/6SPfVm7eHj https://t.co/AnDq1vieMl"
3072,日本の防衛体制強化をロシアが批判、「抑制のきかない軍事化」　[22日 ロイター] -     ロシアは22日、岸田文雄首相が先週発表した防衛体制の強化計画について、日本が平和主義政策を放棄し「抑制　⇒　２ＭＭ(2chﾌﾞｯｸﾏｰｸ) https://t.co/vb0TfPs0oW
3073,諸君は知っているはずだ！　政治家の名を書いて投票箱に投じても諸君の生活が一向に改善されないことを！！
3074,"菅さんにロイヤルホストのホットケーキの監修をして欲しい。
政治の苦労に対置できるホットケーキは彼の人生の至高の部分の反映であるはずで国民も食べる権利がある。"
3075,"私の政治家のお手本です。

東京・大田区の松原区長、任期での退任を表明: 日本経済新聞 https://t.co/Y58AJ1jjvS"
3076,岩手県は東北地方の沿岸部に位置し、広い面積を持つ県です。県の南部にある平泉町は、11～12 世紀に東北地方の政治の拠点として栄えた場所で、中尊寺やその近くにある毛越寺など、建築遺産が今も数多く残されています。北東部にある遠野市は、多くの昔話が誕生した街です。
3077,今なら役人と自民党の政治家は、となりますな。それ以外はおんなじ。 https://t.co/xVob8XnNWf
3078,@arukoutamomo だいたい日本国憲法は政治のルール。本来は日米同盟は当然、自衛隊も警察力を超える武力だから違憲。せめて専守防衛の実力の自衛隊なら問題ない。これが政府自民党の戦後の憲法解釈。相手国に攻撃しない、反撃も公海まで相手国の領域には反撃しない。だから戦力でない。警察力を超えても専守防衛の実力
3079,"@tokki_kitaq 政治は結果だと思いますので何卒、何卒宜しくお願い申し上げます。
福岡 北九州の市議は街の規模はそこそこなのに全国でも上位の報酬過ぎますので。"
3080,"俺の副業！時間の切り売りもいいけど、自分の能力上げたくない？トラックドライバーの給料じゃ足りない知識よりスキルより大事な事！ https://t.co/cKILo5EYNi        @YouTube

副業でアルバイトもいいが‥‥
少し頑張って能力上げたい！
#トラックドライバー　もできる商売

#中卒ドライバーニュース"
